frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"1","Mar 27, 2025 02:33:17.822607000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"2","Mar 27, 2025 02:33:17.822607000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"3","Mar 27, 2025 02:33:17.893479000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"4","Mar 27, 2025 02:33:17.893479000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"5","Mar 27, 2025 02:33:17.893642000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"6","Mar 27, 2025 02:33:17.893663000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"7","Mar 27, 2025 02:33:17.896525000 India Standard Time","172.16.44.224","35.72.108.16","50008","443",,,,,
"8","Mar 27, 2025 02:33:17.897108000 India Standard Time","172.16.44.224","35.72.108.16","50009","443",,,,,
"9","Mar 27, 2025 02:33:17.908357000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"10","Mar 27, 2025 02:33:17.908357000 India Standard Time","35.72.108.16","172.16.44.224","443","50009",,,,,
"11","Mar 27, 2025 02:33:17.916329000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"12","Mar 27, 2025 02:33:17.916329000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"13","Mar 27, 2025 02:33:17.916407000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"14","Mar 27, 2025 02:33:17.916423000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"15","Mar 27, 2025 02:33:17.917949000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"16","Mar 27, 2025 02:33:17.918524000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"17","Mar 27, 2025 02:33:17.921318000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"18","Mar 27, 2025 02:33:17.921318000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"19","Mar 27, 2025 02:33:17.938622000 India Standard Time","35.72.108.16","172.16.44.224","443","50013",,,,,
"20","Mar 27, 2025 02:33:17.938622000 India Standard Time","35.72.108.16","172.16.44.224","443","50012",,,,,
"21","Mar 27, 2025 02:33:17.938706000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
"22","Mar 27, 2025 02:33:17.938721000 India Standard Time","172.16.44.224","35.72.108.16","50012","443",,,,,
"23","Mar 27, 2025 02:33:17.940611000 India Standard Time","172.16.44.224","35.72.108.16","50013","443",,,,,
