frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
1,0,23,37,50012.0,443.0,27294.133333333335,23968.2,-1,-1,-1
2,0,23,37,50013.0,443.0,27294.133333333335,23968.2,-1,-1,-1
3,1,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
4,1,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
5,2,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
6,3,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
7,4,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
8,5,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
9,6,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
10,6,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
11,7,38,22,443.0,50010.0,27294.133333333335,23968.2,-1,-1,-1
12,7,38,22,443.0,50011.0,27294.133333333335,23968.2,-1,-1,-1
13,8,23,37,50010.0,443.0,27294.133333333335,23968.2,-1,-1,-1
14,9,23,37,50011.0,443.0,27294.133333333335,23968.2,-1,-1,-1
15,10,23,37,50011.0,443.0,27294.133333333335,23968.2,-1,-1,-1
16,11,23,37,50010.0,443.0,27294.133333333335,23968.2,-1,-1,-1
17,12,38,22,443.0,50011.0,27294.133333333335,23968.2,-1,-1,-1
18,12,38,22,443.0,50010.0,27294.133333333335,23968.2,-1,-1,-1
19,13,38,22,443.0,50013.0,27294.133333333335,23968.2,-1,-1,-1
20,13,38,22,443.0,50012.0,27294.133333333335,23968.2,-1,-1,-1
21,14,23,37,50013.0,443.0,27294.133333333335,23968.2,-1,-1,-1
22,15,23,37,50012.0,443.0,27294.133333333335,23968.2,-1,-1,-1
23,16,23,37,50013.0,443.0,27294.133333333335,23968.2,-1,-1,-1
24,17,23,37,50012.0,443.0,27294.133333333335,23968.2,-1,-1,-1
25,18,38,22,443.0,50013.0,27294.133333333335,23968.2,-1,-1,-1
26,18,38,22,443.0,50012.0,27294.133333333335,23968.2,-1,-1,-1
27,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
28,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
29,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
30,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
31,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
32,19,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
33,19,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
34,19,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
35,19,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
36,20,23,3,50002.0,443.0,27294.133333333335,23968.2,-1,-1,-1
37,21,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
38,22,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
39,22,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
40,22,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
41,22,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
42,22,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
43,23,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
44,24,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
45,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
46,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
47,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
48,25,38,22,443.0,50009.0,27294.133333333335,23968.2,-1,-1,-1
49,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
50,25,38,22,443.0,50008.0,27294.133333333335,23968.2,-1,-1,-1
51,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
52,25,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
53,26,23,3,50002.0,443.0,27294.133333333335,23968.2,-1,-1,-1
54,27,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
55,28,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
56,28,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
57,29,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
58,29,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
59,29,4,22,443.0,50002.0,27294.133333333335,23968.2,-1,-1,-1
60,30,23,3,50002.0,443.0,27294.133333333335,23968.2,-1,-1,-1
61,31,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
62,32,23,37,50009.0,443.0,27294.133333333335,23968.2,-1,-1,-1
63,33,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
64,34,23,37,50008.0,443.0,27294.133333333335,23968.2,-1,-1,-1
65,35,38,22,443.0,50010.0,27294.133333333335,23968.2,-1,-1,-1
